Brand,Model,Name,Fuel,Year,Month,Date,Sales
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2013,SEP,2013-09-01,1152
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2013,SEP,2013-09-01,758
Ford,Fusion Energi,Ford Fusion Energi,PHEV,2013,SEP,2013-09-01,750
Fiat,500e,Fiat 500e,BEV,2013,SEP,2013-09-01,450
Ford,Focus Electric,Ford Focus Electric,BEV,2013,SEP,2013-09-01,110
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2013,SEP,2013-09-01,167
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2013,SEP,2013-09-01,20
smart,ED,smart ED,BEV,2013,SEP,2013-09-01,137
Honda,Fit EV,Honda Fit EV,BEV,2013,SEP,2013-09-01,35
Chevrolet,Spark EV,Chevrolet Spark EV,BEV,2013,SEP,2013-09-01,78
Honda,Accord PHV,Honda Accord PHV,PHEV,2013,SEP,2013-09-01,51
Porsche,Panamera S-E,Porsche Panamera S-E,PHEV,2013,SEP,2013-09-01,0
Cadillac,ELR,Cadillac ELR,PHEV,2013,SEP,2013-09-01,0
Chevrolet,Volt,Chevrolet Volt,PHEV,2013,OCT,2013-10-01,2022
Nissan,LEAF,Nissan LEAF,BEV,2013,OCT,2013-10-01,2002
Tesla,Model S,Tesla Model S,BEV,2013,OCT,2013-10-01,800
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2013,OCT,2013-10-01,2095
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2013,OCT,2013-10-01,1092
Ford,Fusion Energi,Ford Fusion Energi,PHEV,2013,OCT,2013-10-01,1087
Fiat,500e,Fiat 500e,BEV,2013,OCT,2013-10-01,400
Ford,Focus Electric,Ford Focus Electric,BEV,2013,OCT,2013-10-01,115
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2013,OCT,2013-10-01,91
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2013,OCT,2013-10-01,28
smart,ED,smart ED,BEV,2013,OCT,2013-10-01,111
Honda,Fit EV,Honda Fit EV,BEV,2013,OCT,2013-10-01,40
Chevrolet,Spark EV,Chevrolet Spark EV,BEV,2013,OCT,2013-10-01,66
Honda,Accord PHV,Honda Accord PHV,PHEV,2013,OCT,2013-10-01,71
Porsche,Panamera S-E,Porsche Panamera S-E,PHEV,2013,OCT,2013-10-01,35
Cadillac,ELR,Cadillac ELR,PHEV,2013,OCT,2013-10-01,0
Chevrolet,Volt,Chevrolet Volt,PHEV,2013,NOV,2013-11-01,1920
Nissan,LEAF,Nissan LEAF,BEV,2013,NOV,2013-11-01,2003
Tesla,Model S,Tesla Model S,BEV,2013,NOV,2013-11-01,1200
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2013,NOV,2013-11-01,1100
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2013,NOV,2013-11-01,941
Ford,Fusion Energi,Ford Fusion Energi,PHEV,2013,NOV,2013-11-01,870
Fiat,500e,Fiat 500e,BEV,2013,NOV,2013-11-01,430
Ford,Focus Electric,Ford Focus Electric,BEV,2013,NOV,2013-11-01,130
Toyota,RAV4 EV,Toyota RAV4 EV,BEV,2013,NOV,2013-11-01,62
Mitsubishi,i-MiEV,Mitsubishi i-MiEV,BEV,2013,NOV,2013-11-01,12
smart,ED,smart ED,BEV,2013,NOV,2013-11-01,153
Honda,Fit EV,Honda Fit EV,BEV,2013,NOV,2013-11-01,23
Chevrolet,Spark EV,Chevrolet Spark EV,BEV,2013,NOV,2013-11-01,87
Honda,Accord PHV,Honda Accord PHV,PHEV,2013,NOV,2013-11-01,68
Porsche,Panamera S-E,Porsche Panamera S-E,PHEV,2013,NOV,2013-11-01,4
Cadillac,ELR,Cadillac ELR,PHEV,2013,NOV,2013-11-01,0
Chevrolet,Volt,Chevrolet Volt,PHEV,2013,DEC,2013-12-01,2392
Nissan,LEAF,Nissan LEAF,BEV,2013,DEC,2013-12-01,2529
Tesla,Model S,Tesla Model S,BEV,2013,DEC,2013-12-01,1500
Toyota,Prius PHV,Toyota Prius PHV,PHEV,2013,DEC,2013-12-01,919
Ford,C-Max Energi,Ford C-Max Energi,PHEV,2013,DEC,2013-12-01,827
Ford,Fusion Energi,Ford Fusion Energi,PHEV,2013,DEC,2013-12-01,791
Fiat,500e,Fiat 500e,BEV,2013,DEC,2013-12-01,470
